label,附加评论,positive,positive_prob,negative_prob,confidence,sentiment
3.0,人生第一把手电钻，感觉好漂亮好精致啊，其实也不太用到，就是单纯的想拥有一把，还有就是上海货仓发货的感觉比都比南京发货的包装好。,1,0.977186,0.022814,0.949302,2
-0.9,"东西不错，今天用着挺有劲，拧大螺丝一步到位，
缺点，同心度太差，拧小一些的螺丝钉那感觉，老甩了！chua  chua    的。
还有一点，电池真心太贵了，一块2.0ah电池么八八，照这样算，电钻是不是100就卖啊？？？",0,0.131478,0.868522,0.707827,0
1.0,品质没得说，功能也挺不错的，在这个价位绝对是物超所值了。如果在加上转接头后，同心度上再精确一些就更加完美了。,1,0.995303,0.00469656,0.989563,2
-1.0,一捌0到手，做工很一般，力度够劲，电池航行不知道怎么样，两年前买过威克士曲线锯，1.3AH的电池，锯了三 四米左右的板就没电了，,0,0.0541214,0.945879,0.87973,0
1.0,电钻不错  就是送的这个配件 延长套筒好像偏心的很厉害  有点群魔乱舞的感觉,1,0.814617,0.185383,0.588038,2
1.0,买来就拧了几个内六角螺钉，感觉不错，不过确实存在同轴度不高的问题,1,0.694842,0.305158,0.321871,2
1.0,有15个档位调节，高档位力度很有劲，非常好用,1,0.902078,0.0979216,0.782397,2
2.0,京东快递就是牛，昨天晚上下的单，今天中午就到了???，还有宝贝很好，使用过程中很够力，还有送的配件也很多。,1,0.970117,0.0298826,0.933594,2
0.0,电钻手到，质量特别好，还送了螺丝刀头，用了一次，很好用，拧东西省力，昨天早上下单下午就送到了，五星好评。,1,0.992087,0.00791278,0.982416,2
0.0,秒杀的时候抢到的，不的不说真的很漂亮设计的，用着感觉也很不错?，感觉很值，而且还送了工具包。,1,0.993663,0.00633726,0.985917,2
2.0,做工很不错，电机声音也不错，值得购买！电池还没用不知道使用时间，估计家用一块电池足够了。好歹但电池卖一百多呢应该不错。干活用还是买两块加上快充吧。就没有人拍个清楚的细节照片评价下，我发几个细节。,1,0.781163,0.218837,0.513695,2
0.0,还不错，跟想象的差不多。估计暂时还不会有用，备着。,0,0.376674,0.623326,0.162947,0
1.1,没有我预想的那么好，同心度不够，开始送来的那个同心度还可以，可档位调节不了，第二天就又来给我换了一个，京东的速度是没话说的，希望在以后的使用中能有好一些的体验,1,0.567524,0.432476,0.0389428,2
1.0,总体握持感觉不错，但同心度太差了，换了三把都是一样。而且除了第一把，其他两个都有明显的开箱痕迹，封口贴都是字皱巴巴的，二手dong果然名不虚传。快递员态度没的说，折腾了人家好几次，依旧微笑服务。先凑合用，让时间来检验吧。,1,0.554981,0.445019,0.0110681,2
1.0,拿在手里很有分量，力度也还可以。但有一点就是电机会发出火花。,1,0.767856,0.232144,0.484125,2
0.0,家里装修，一直想买一款无线的手电钻，省的有线到处找地方插电线，关注worx很久了，在张大妈上看了很多评测，也看了博世，无奈价格在那里，加上自己只是装修小白，感觉还是先拿个性价比高的入手再说。终于这两天早上8点地铁上看到优惠力度贼大，各种券叠加后183到手，还送钻头套装，哈哈，没白等。到手还没试，等回去后就把家里戴森吸尘器的架子给装起来。赞优惠！,1,0.99672,0.0032801,0.992711,2
0.0,威克士第二次购买了，买来是搞安装的！品质没得说！,1,0.626108,0.373892,0.169129,2
