label,附加评论,positive,positive_prob,negative_prob,confidence,sentiment
1.0,国货精品,1,0.542176,0.457824,0.156482,1
-1.0,就是充电器太小了,0,0.33638,0.66362,0.252488,0
1.0,动力也挺好,1,0.908398,0.0916016,0.796441,2
0.0,到手还没试,1,0.501782,0.498218,0.964361,1
1.0,宝贝使用方便,1,0.676532,0.323468,0.281181,2
1.0,我用着还好啊,1,0.628817,0.371183,0.175149,2
-1.0,质量太差,0,0.0176651,0.982335,0.960744,0
1.0,价格可以接受,1,0.773016,0.226984,0.495591,2
1.0,正常运行,1,0.538222,0.461779,0.235569,1
1.0,物流服务一流,1,0.71198,0.28802,0.359956,2
1.0,威克士的东西用起来很顺手,1,0.796411,0.203589,0.54758,2
1.0,其他两个都有明显的开箱痕迹,0,0.451584,0.548416,0.031687,1
0.0,上次买的时候乜是活动价格买的,1,0.561001,0.438999,0.0244461,2
1.0,加1送的赠品也很棒,1,0.934004,0.0659956,0.853343,2
1.0,试了好几次,1,0.731595,0.268405,0.403545,2
1.0,产品质量好,1,0.74497,0.25503,0.433268,2
1.0,性价比很高啊,1,0.901388,0.098612,0.780862,2
1.0,再也不用手拧螺丝了轻便了许多,1,0.61494,0.38506,0.144311,2
1.0,挑了好久还是决定买个贵点的,1,0.615684,0.384316,0.145965,2
0.0,小身材大力量,1,0.607675,0.392325,0.128168,2
1.0,可以的不错价格便宜很实惠不输博世,1,0.949831,0.0501693,0.888513,2
0.0,手电钻面上一层灰,1,0.569967,0.430033,0.0443709,2
1.0,一听声音就知道动力强劲,1,0.703451,0.296549,0.341002,2
1.0,服务态度也很好,1,0.910195,0.0898052,0.800433,2
1.0,满意的工具,1,0.857131,0.142869,0.682513,2
1.0,值得推荐,1,0.876511,0.123489,0.72558,2
0.0,安装等使用,1,0.555137,0.444863,0.0114165,2
1.0,看评价也不错,1,0.857784,0.142216,0.683965,2
0.0,这是第三次购买啦,1,0.593123,0.406877,0.0958288,2
0.0,我买的钻有点漏油,0,0.270691,0.729309,0.398464,0
-1.0,也没有笔直一条线,0,0.461831,0.538169,0.236611,1
0.0,两个衣柜,1,0.546636,0.453364,0.0672865,1
0.0,说实话我只是来拿京豆的,1,0.569862,0.430138,0.0441386,2
1.0,希望常用的批头和钻头能打包买到,1,0.679883,0.320117,0.288629,2
0.0,建议用冲击钻,1,0.507051,0.492949,0.858974,1
1.0,电钻总体来说还不错,1,0.830412,0.169588,0.623138,2
1.0,收到货不久后试用几次感觉马力充足,1,0.672175,0.327825,0.271501,2
-1.0,还没有几十的好这个还重,0,0.258158,0.741842,0.426315,0
1.0,家用足够,1,0.820816,0.179184,0.601813,2
1.0,充一次电大概可以用个两三小时,1,0.543611,0.456389,0.127778,1
1.0,发货很快,1,0.705827,0.294173,0.346283,2
0.0,够力,1,0.828146,0.171854,0.618103,2
0.0,换货已收到,0,0.472909,0.527091,0.458174,1
1.0,家居维修完全可以胜任,1,0.615241,0.384759,0.144979,2
1.0,用着很好,1,0.923292,0.0767079,0.829538,2
0.0,刚开始赠品的连接杆同心度不好,0,0.140971,0.859029,0.68673,0
0.0,而不是围绕自身旋转,0,0.259356,0.740644,0.423654,0
1.0,看起来很不错昂,1,0.945348,0.0546518,0.878552,2
1.0,同心度非常好,1,0.926694,0.0733058,0.837098,2
-1.0,一个月前已经坏了,0,0.268187,0.731813,0.404028,0
0.0,高品质的一款手电钻,1,0.723321,0.276679,0.385158,2
1.0,使用了几天电钻很不错动力十足,1,0.95419,0.0458103,0.898199,2
1.0,外观精美,1,0.917717,0.0822827,0.81715,2
0.0,已经笫3个了,1,0.528889,0.47111,0.422211,1
1.0,轻巧,1,0.645686,0.354314,0.212636,2
1.0,用起来方便,1,0.801207,0.198793,0.558237,2
1.0,这款锂电钻质量很好,1,0.913015,0.086985,0.8067,2
0.0,哎,0,0.258327,0.741673,0.42594,0
0.0,感觉还不是很有力量,0,0.340894,0.659106,0.242458,0
1.0,很好用非常给力打了几个孔很实用,1,0.989318,0.0106821,0.976262,2
0.0,有发票,0,0.484577,0.515423,0.691542,1
1.0,要的就是这个速度,1,0.54376,0.45624,0.124805,1
1.0,手感舒适,1,0.544419,0.455581,0.111625,1
0.0,还送钻头套装,1,0.773836,0.226164,0.497413,2
1.0,服务也好,1,0.662527,0.337473,0.25006,2
0.0,电钻挺好用,1,0.816054,0.183946,0.591232,2
0.0,一电一冲,1,0.517842,0.482158,0.643167,1
1.0,动力强,1,0.776584,0.223416,0.50352,2
0.0,携带方便,1,0.544016,0.455984,0.119679,1
0.0,需要退货,0,0.395014,0.604986,0.122191,0
-1.0,毕竟这个价格也就不指望能很好用了,1,0.643355,0.356645,0.207456,2
1.0,确实物有所值,1,0.671698,0.328302,0.270441,2
0.0,收到,1,0.519502,0.480498,0.609965,1
1.0,不错挺好的,1,0.972721,0.0272793,0.939379,2
0.0,最终还是买了,0,0.380262,0.619738,0.154972,0
0.0,不如广告里面形容的小巧,0,0.157862,0.842138,0.649195,0
1.0,不错很实用,1,0.969588,0.030412,0.932418,2
-1.0,就是稍微小贵,1,0.510642,0.489358,0.787155,1
1.0,修理工省力了,1,0.548182,0.451818,0.0363505,1
1.0,用着很顺手,1,0.812978,0.187022,0.584396,2
0.0,用了一个月,1,0.552868,0.447132,0.00637253,2
1.0,物流相当给力,1,0.819699,0.180301,0.599331,2
0.0,一直在京东购买,1,0.622458,0.377542,0.161019,2
1.0,这次的比较好,1,0.779233,0.220767,0.509407,2
1.0,东西还不错,1,0.728854,0.271146,0.397453,2
1.0,不错不错的,1,0.935736,0.0642637,0.857192,2
1.0,批头硬度非常好,1,0.917553,0.0824471,0.816784,2
1.0,拧东西省力,0,0.474692,0.525308,0.493837,1
1.0,看起来不错,1,0.877011,0.122989,0.726692,2
0.0,各种券叠加后183到手,1,0.548428,0.451572,0.0314355,1
0.0,握在手里沉甸甸的,1,0.591546,0.408454,0.0923255,2
0.0,第二次买了,0,0.395736,0.604264,0.120587,0
0.0,用途广泛,1,0.54174,0.45826,0.165197,1
1.0,力度也还可以,1,0.850419,0.149581,0.667597,2
1.0,使用起来方便,1,0.786815,0.213185,0.526256,2
1.0,还会支持这家店铺,1,0.940085,0.0599154,0.866855,2
1.0,很不错哦,1,0.985341,0.0146592,0.967424,2
0.0,用了个月了,1,0.509543,0.490457,0.809134,1
-1.0,还送头子,1,0.753019,0.246981,0.451153,2
1.0,这里着重表扬下jd的退换货机制,1,0.792638,0.207362,0.539195,2
1.0,钻螺丝挺方便的,1,0.855101,0.144899,0.678003,2
0.0,目前没发现缺点,0,0.288558,0.711442,0.35876,0
0.0,比我手紧螺丝好多了吧,1,0.671541,0.328459,0.270092,2
1.0,总体不错的,1,0.943,0.0569997,0.873334,2
1.0,会无限回购哈,1,0.8242,0.1758,0.609334,2
-1.0,用起来不是很平衡的感觉,1,0.535485,0.464515,0.290292,1
0.0,中午下单,0,0.482625,0.517375,0.652506,1
1.0,电池比其他品牌耐用,1,0.766173,0.233827,0.480385,2
0.0,以前也是200多买了个电转人家那个有2个电池一个用完忘记充电可以换个被用的,0,0.449815,0.550184,0.000409948,0
-1.0,后悔没买带包或者盒子的套装,0,0.338894,0.661106,0.246903,0
-1.0,比如悬空握持也不会吃力,0,0.151963,0.848037,0.662304,0
0.0,这态度,0,0.307568,0.692432,0.316515,0
0.0,充电太慢了,0,0.0684804,0.93152,0.847821,0
1.0,外观设计好看,1,0.868654,0.131346,0.708119,2
1.0,就是不知道电池耐用不,0,0.407961,0.592039,0.0934207,0
1.0,力度适中,1,0.8699,0.1301,0.710889,2
0.0,没多大用,0,0.417593,0.582407,0.072015,0
0.0,五小时就收到,0,0.478351,0.521649,0.567021,1
0.0,以为有包,0,0.498836,0.501164,0.976714,1
0.0,搬家公司气惨了,0,0.191196,0.808805,0.575121,0
0.0,电机声音也不错,1,0.851181,0.148819,0.669291,2
-1.0,转起来肉眼可见有偏差,1,0.621431,0.378569,0.158736,2
0.0,电池只能用4个小时,0,0.310933,0.689067,0.309039,0
1.0,京东自营值得信赖,1,0.733998,0.266002,0.408884,2
0.0,京东棒棒的,1,0.638475,0.361525,0.19661,2
1.0,挺好用很不错,1,0.982774,0.0172257,0.961721,2
0.0,这个价位力道续航都很到位,1,0.885061,0.114939,0.744579,2
0.0,只有再次到其它平台上买东西了,0,0.254471,0.745529,0.434508,0
1.0,用着方便,1,0.766618,0.233382,0.481374,2
1.0,东西使用还可以,1,0.624598,0.375402,0.165773,2
-1.0,一般得日用应该是够了,0,0.323956,0.676044,0.280097,0
0.0,让我和京东申请换货,0,0.454781,0.545219,0.0956201,1
0.0,买回来用了一段时间,1,0.587237,0.412763,0.0827482,2
0.0,第四台,1,0.544522,0.455478,0.109564,1
1.0,电钻质量不错,1,0.862515,0.137485,0.694477,2
0.0,干活用还是买两块加上快充吧,0,0.449173,0.550827,0.00183741,0
1.0,很好很实用,1,0.982617,0.0173831,0.961371,2
-1.0,螺丝夹的不是很稳,1,0.68142,0.31858,0.292045,2
0.0,还没尝试用到,1,0.511179,0.488821,0.776428,1
-1.0,同心度不好,0,0.112353,0.887647,0.750326,0
0.0,拿在手里有分量,0,0.486764,0.513236,0.735271,1
0.0,当时想买博世的,1,0.590258,0.409742,0.0894629,2
0.0,做工还错,1,0.624744,0.375256,0.166097,2
1.0,物流神速,1,0.561415,0.438585,0.0253667,2
1.0,钻头离心度略大,0,0.379372,0.620628,0.15695,0
1.0,上手比较容易,1,0.638077,0.361923,0.195728,2
1.0,无线的就是方便,1,0.794351,0.205649,0.543002,2
-1.0,博世竞品也没好到哪里去,0,0.477324,0.522676,0.546488,1
1.0,质量可靠,1,0.617408,0.382592,0.149797,2
1.0,外观好看漂亮,1,0.987966,0.0120338,0.973258,2
0.0,拿在手里有分量感,1,0.512919,0.487081,0.741622,1
1.0,后悔了买个大v的好了,0,0.432291,0.567709,0.0393543,0
1.0,跳动有点大,0,0.227729,0.772271,0.493936,0
1.0,一直信任买真货,1,0.71301,0.28699,0.362244,2
0.0,可以自己动手了,1,0.720529,0.279471,0.378954,2
1.0,做工不错,1,0.867865,0.132135,0.706366,2
0.0,昨晚下的单子,0,0.442146,0.557853,0.0174521,0
0.0,还没有充电,0,0.337627,0.662373,0.249718,0
0.0,买工具也有种快感,1,0.662204,0.337796,0.249342,2
0.0,一直想买一款无线的手电钻,1,0.700593,0.299407,0.334651,2
1.0,本品用料上看着是会廉价一些,0,0.316103,0.683897,0.297549,0
1.0,力度很大,1,0.738735,0.261265,0.419411,2
0.0,家庭常备之物,1,0.549188,0.450812,0.0162482,1
0.0,力气也够,1,0.7466,0.2534,0.436889,2
0.0,是水泥墙体就不要用这样的,0,0.279864,0.720136,0.37808,0
1.0,好用还耐用,1,0.86851,0.13149,0.707801,2
0.0,售后跟得很到位,1,0.662081,0.337919,0.249068,2
0.0,就是忘买钻头了,1,0.676069,0.323931,0.280153,2
0.0,紧固螺丝比手动强多了,1,0.625537,0.374464,0.167859,2
0.0,东西买来给公司用的,1,0.617643,0.382357,0.150318,2
1.0,用了大概两周出现电机前后松动问题,0,0.377097,0.622903,0.162006,0
0.0,电机声音赞,1,0.845025,0.154975,0.655611,2
1.0,很好用蛮有分量的,1,0.966823,0.0331767,0.926274,2
0.0,妈妈让买的,1,0.680482,0.319518,0.289961,2
1.0,比手拧的好多了省劲儿,1,0.777002,0.222998,0.504449,2
1.0,其他都好,1,0.838297,0.161703,0.64066,2
0.0,WORX国内第一块牌子,1,0.565367,0.434633,0.0341479,2
1.0,爽,1,0.827096,0.172904,0.615769,2
0.0,而是因为使用操作问题我提出换货,1,0.63372,0.36628,0.186045,2
0.0,这速度,0,0.48339,0.51661,0.667791,1
0.0,一般般,0,0.243943,0.756057,0.457905,0
1.0,物流给力,1,0.730998,0.269002,0.402219,2
1.0,就图个难得用到的趁手工具,1,0.586036,0.413964,0.0800798,2
1.0,美了美了美了,1,0.924379,0.0756211,0.831953,2
0.0,小试了一下,1,0.580485,0.419515,0.0677444,2
0.0,家用,1,0.606469,0.393531,0.125487,2
0.0,客服不回复,0,0.123047,0.876953,0.726563,0
1.0,联系售后就万能的打400电话,0,0.291346,0.708654,0.352565,0
-1.0,贵了点,0,0.211199,0.788801,0.530669,0
1.0,京东服务越来越好了,1,0.740699,0.259301,0.423775,2
1.0,这点摆头可以接受,1,0.777192,0.222808,0.50487,2
1.0,快递快,1,0.681091,0.318909,0.291313,2
1.0,用起来得心应手,1,0.678142,0.321858,0.28476,2
1.0,赠品也不错,1,0.929442,0.0705578,0.843205,2
1.0,常期回购非常满意值得买,1,0.984834,0.0151657,0.966298,2
1.0,质感好,1,0.784075,0.215925,0.520168,2
1.0,就是不知道电池耐不耐用,0,0.473469,0.526531,0.469379,1
0.0,没有客服,0,0.311885,0.688115,0.306923,0
1.0,值得购买,1,0.816966,0.183034,0.593258,2
0.0,电池用大半天了,0,0.375862,0.624138,0.164752,0
0.0,这是第三次购买,0,0.479505,0.520495,0.590107,1
1.0,京东服务真的没话说,1,0.673486,0.326514,0.274414,2
0.0,就是送的这个配件,1,0.536822,0.463178,0.263556,1
1.0,质量有保障,1,0.627104,0.372896,0.171342,2
1.0,包不太实用,0,0.424594,0.575406,0.0564583,0
1.0,想要入手的请放心购买,1,0.622755,0.377245,0.161679,2
0.0,使用过程中很够力,1,0.897402,0.102598,0.772005,2
1.0,喜欢,1,0.887169,0.11283,0.749265,2
0.0,分享给大家,1,0.620696,0.379304,0.157103,2
